# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370169,96,14,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370169,122,12,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370169,140,11,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370169,154,10,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370169,174,9,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370169,181,8,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370169,183,7,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370169,597,8,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370169,691,9,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370169,696,10,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370169,834,11,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370169,1026,12,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370169,1042,13,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370169,1184,14,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370172,1,14,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370172,7,15,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370172,121,16,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370172,204,17,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370175,1,5,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,36,16,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,42,15,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,50,19,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,59,5,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,96,15,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,100,14,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,124,12,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,144,11,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,174,10,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,189,9,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,200,8,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,211,7,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,921,8,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,996,9,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,1076,10,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,1155,11,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,1277,13,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370175,1498,14,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370293,1,5,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,60,14,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
